Definition,Label
16 people gang rape and murder of a girl who was burnt alive,IPC_Section_302_376
2 constables had then brutally beaten person who sustained injuries and was admitted to a hospital and was in critical condition,IPC_Section_307
2 persons who kidnapped 2 girls to an old building and raped the elder child,IPC_Section_376
2 youth raped the girl on the pretext of taking her to a nearby jungle,IPC_Section_376
3 men for gang-raping woman and attacked her with sharp weapon,IPC_Section_307_376
4 men accused of the rape and murder of a woman,IPC_Section_302_376
4 men allegedly gang-raped a woman in front of her husband,IPC_Section_376
4 men raped the girl and strangulated her to death,IPC_Section_302_376
5 men accused of raping a girl,IPC_Section_376
A case of murder was registered,IPC_Section_302
A driver who allegedly killed him because of old enmity was arrested after he was beaten up by people,IPC_Section_302
a group of people allegedly attacked man and fired shots,IPC_Section_307
A man was axed to death by son,IPC_Section_302
"a person intending to victim with poison, procures a white powder containing poison and secretly mixes the same with food which remains in keeping of that person fails to kill or pioson viction ",IPC_Section_307
"A person is said to commit the offense of murder when being a person of sound mind, he kills any other reasonable person",IPC_Section_302
a position of control or dominance over a woman commits rape on such woman,IPC_Section_376
"a relative, guardian or teacher of, or a person in a position of trust or authority towards the woman, commits rape on such woman",IPC_Section_376
accused allegedly shot them with his revolver after they allegedly attacked the police team,IPC_Section_307
accused allegedly stabbed to death his brother,IPC_Section_302
accused allegedly strangled victim and stabbed him to death,IPC_Section_302
accused allegedly took the girl on the pretext of giving her sweets and allegedly raped the child and killed her by strangulating her,IPC_Section_302_376
Accused can be arrested for allegedly sexually harassing or sexual harassment of a female,IPC_Section_376
accused in an attempt to murder case,IPC_Section_307
accused in the rape and death,IPC_Section_302_376
accused lured the girl then raped and killed her by smashing her head with a stone,IPC_Section_302_376
accused of allegedly raping her,IPC_Section_376
accused of raping a woman and tried to kill her by setting her fire or set her on fire,IPC_Section_307_376
accused were heading to execute a murder,IPC_Section_307
after an alleged sex rape attack on a girl trying to kill her,IPC_Section_307_376
After raping her he allegedly threw her from a bridge on railway tracks,IPC_Section_307_376
"After raping her, he tried to strangulate the woman",IPC_Section_307_376
"after raping the victim, the accused had hit her head with a stone",IPC_Section_302_376
after the medical examination the minor confided in her mother and said that she was repeatedly raped by her father,IPC_Section_376
all accused rape and murder,IPC_Section_302_376
alleged rape and attempt to commit murder of  a minor,IPC_Section_307_376
alleged rape and murder of an girl by a boy,IPC_Section_302_376
alleged she was gang-raped before killed,IPC_Section_302_376
alleged that she was raped and set ablaze or set her on fire. later she was sent to hospital undergoing treatment,IPC_Section_307_376
allegedly accused of rape and murder of a girl,IPC_Section_302_376
allegedly attacked with a knife by her former driver,IPC_Section_307
allegedly beaten to death,IPC_Section_302
allegedly beating a man to death,IPC_Section_302
allegedly hacked to death,IPC_Section_302
allegedly infecting the person infection,IPC_Section_307
allegedly killed,IPC_Section_302
allegedly killed,IPC_Section_302
allegedly killed and burnt the dead body,IPC_Section_302
allegedly killed and set the deadbody or body on fire,IPC_Section_302
allegedly killed by 5 persons who later burnt the body or deadbody at a forest,IPC_Section_302
allegedly killed the person,IPC_Section_302
"allegedly killed wife, dumped her body, packed in a sack",IPC_Section_302
allegedly killing,IPC_Section_302
allegedly killing a 7 year old girl who had gone missing.,IPC_Section_302
allegedly killing a woman,IPC_Section_302
allegedly killing his elder brother following an argument,IPC_Section_302
allegedly killing or killed his wife and son by setting them on fire,IPC_Section_302
allegedly latched the door of the laboratory and raped the girl,IPC_Section_376
allegedly murdered,IPC_Section_302
allegedly murdering,IPC_Section_302
allegedly owning allegiance to the proscribed terror group,IPC_Section_307
allegedly performed human sacrifice to appease the gods,IPC_Section_302
allegedly poisoned and killed,IPC_Section_302
allegedly raped a woman,IPC_Section_376
allegedly raped and murdered,IPC_Section_302_376
allegedly raped and set a girl afire,IPC_Section_307_376
allegedly raping a girl and making a video of the crime,IPC_Section_376
allegedly raping a teenager,IPC_Section_376
allegedly raping a woman,IPC_Section_376
allegedly raping and killing a woman,IPC_Section_302_376
allegedly raping his daughter,IPC_Section_376
allegedly raping his daughter,IPC_Section_376
allegedly sexually assaulted by a burglar and even tried to strangulate her,IPC_Section_307_376
allegedly shot dead after an argument,IPC_Section_302
allegedly smothered to death,IPC_Section_302
allegedly strangulated to death by his friend,IPC_Section_302
"allegedly thrashed by her father, continues to battle for life in Kerala at a hospital",IPC_Section_307
allegedly threw his mother off the roof of building and then pretended that he didnâ€™t know about it,IPC_Section_307
allegedly trying to poison the victim,IPC_Section_307
an act should be done which must be capable of causing demise in the natural and ordinary course of things,IPC_Section_307
an alcoholic man forcibly drowned his 3 daughters,IPC_Section_307
an alleged serial killer who allegedly raped and murdered minor girls,IPC_Section_302_376
an attempt to murder and criminal conspiracy,IPC_Section_307
An couple was murdered in Dubai by a national,IPC_Section_302
An intention of or knowledge,IPC_Section_307
apprehended the 3 juveniles for the murder,IPC_Section_302
attempt to kill,IPC_Section_307
attempt to kill and rape,IPC_Section_307_376
attempt to kill or murder,IPC_Section_307
attempt to kill women,IPC_Section_307
Attempt to murder,IPC_Section_307
attempt to murder and rape,IPC_Section_307_376
attempt to murder and rape,IPC_Section_307_376
attempted honour killing ,IPC_Section_307
attempted to kill,IPC_Section_307
axed to death,IPC_Section_302
baby was raped and murdered,IPC_Section_302_376
beaten the minor,IPC_Section_307
beaten to death,IPC_Section_302
before stabbing her in her throat with a kitchen knife raped her and threw her in the drain ,IPC_Section_307_376
bludgeoned to death,IPC_Section_302
bludgeoned to death with boulders,IPC_Section_302
bombing,IPC_Section_302
boy allegedly raped a girl,IPC_Section_376
boy allegedly raping a minor girl,IPC_Section_376
boy has been held for allegedly raping a minor girl,IPC_Section_376
"boy took the girl to his room, raped her and killed her by throttling her whom he then put the body of the girl in a gunny bag",IPC_Section_302_376
boy was allegedly murdered by his mother,IPC_Section_302
boy was killed by a woman allegedly,IPC_Section_302
boy was strangled to death,IPC_Section_302
British woman tourist was allegedly raped by an unidentified man,IPC_Section_376
brutal lynching and lynched,IPC_Section_302
brutal murder case,IPC_Section_302
brutally killed by unknown assailants,IPC_Section_302
But if a person places the same food on the table of the victim or delivers it to a servant of the victim to be placed on the table of the victim attempt,IPC_Section_307
butchered,IPC_Section_302
"came to meet the woman, he was accompanied by his friend and both allegedly raped the woman",IPC_Section_376
"carnaged, bomb blast",IPC_Section_302
case of double murder,IPC_Section_302
case of honour killing,IPC_Section_302
"case of honour killing, a man killed his daughter and completed her final rites hurriedly",IPC_Section_302
case of rape against an IAS officer,IPC_Section_376
case of rape and attempt to murder,IPC_Section_307_376
"cases of murder, murderous assault, gangster",IPC_Section_302
Celebratory firing during functions,IPC_Section_307
"charged for the attempt to murder, gang rape",IPC_Section_307_376
chopped off the head,IPC_Section_302
commits homicide,IPC_Section_302
commits murder and death,IPC_Section_302
commits murder and kills the person,IPC_Section_302
commits rape,IPC_Section_376
commits rape during communal or sectarian violence,IPC_Section_376
"commits rape on a girl when she is under sixteen years of age, underage",IPC_Section_376
commits rape on a woman knowing her to be pregnant,IPC_Section_376
commits rape on a woman suffering from mental or physical disability.,IPC_Section_376
commits rape repeatedly on the same woman,IPC_Section_376
"commits rape, incapable of giving, without consent",IPC_Section_376
committed murder,IPC_Section_302
committed rape,IPC_Section_376
"committing for murder, assassination",IPC_Section_302
committing rape,IPC_Section_376
connection with the sexual assault of a woman by her husband and his friends after forcibly making her drink liquor,IPC_Section_376
conspired to kill,IPC_Section_307
convict in the rape and murder girl,IPC_Section_302_376
convicted of murder,IPC_Section_302
convicted of rape and murder of a girl,IPC_Section_302_376
convicted rapist and also having the charges of attempt to murderer,IPC_Section_307_376
cop fired at man after argument,IPC_Section_307
couple have been admitted to hospital with severe injuries,IPC_Section_307
cousin got hold of her and allegedly raped her there,IPC_Section_376
crushing face with stones multiple times and killed or murdered her,IPC_Section_302
culprit in brutal murder and suspected rape of a girl,IPC_Section_302_376
death and rape,IPC_Section_302_376
death or he died on the spot,IPC_Section_302
died of gunshot wounds after the assailant barged into his house,IPC_Section_302
driver was murdered after his car was stolen,IPC_Section_302
drunken man allegedly beat his wife to death,IPC_Section_302
elderly was allegedly shot dead by an unidentified assailant,IPC_Section_302
"family killed their daughter. While the mother gave her sleeping pills, other members of the family strangulated her and cremated the body or deadbody",IPC_Section_302
father rapes daughter repeatedly impregnates her,IPC_Section_376
female was allegedly shot dead by her husband,IPC_Section_302
for allegedly firing,IPC_Section_307
for attempting to murder and subsequently raping a woman,IPC_Section_307_376
for grievously attacking another man with sharp-edged weapons with the intention to kill him,IPC_Section_307
for spreading the infection,IPC_Section_307
found dead,IPC_Section_302
found dead with his throat slit,IPC_Section_302
found murdered,IPC_Section_302
gang rape,IPC_Section_376
Gang rape is the situation where a woman is raped by more than 1 person or men with the same intention to rape the woman,IPC_Section_376
gang rape of 2 girls attempted murders,IPC_Section_307_376
gang rape of woman,IPC_Section_376
gang raped and killed,IPC_Section_302_376
gang raped and murdered,IPC_Section_302_376
gangrape and murder of a woman,IPC_Section_302_376
girl allegedly got pregnant thrice due to repeated rapes and was made to abort each time,IPC_Section_376
girl allegedly raped and murdered by a sexual predator,IPC_Section_302_376
girl gang raped by 7 men,IPC_Section_376
girl has become pregnant after allegedly being repeatedly raped by 2 brothers,IPC_Section_376
girl has been admitted at hospital in a serious condition after she was thrown out of a running train,IPC_Section_307
girl has been allegedly raped by her cousin,IPC_Section_376
girl raped,IPC_Section_376
girl raped and killed allegedly by 2 people,IPC_Section_302_376
girl raped at gunpoint,IPC_Section_376
girl student who was alone in her house was reportedly gang-raped by 3 teenagers,IPC_Section_376
girl was abducted and raped by an unidentified person on the outskirts,IPC_Section_376
girl was abducted and raped by two people,IPC_Section_376
girl was allegedly abducted and gang-raped by 4 men,IPC_Section_376
girl was allegedly abducted and raped by 2 men,IPC_Section_376
girl was allegedly abducted and raped by her neighbour,IPC_Section_376
girl was allegedly abducted and raped by two youths,IPC_Section_376
girl was allegedly gang-raped by 4 men,IPC_Section_376
"girl was allegedly gang-raped by 4 students, and then dumped near",IPC_Section_376
girl was allegedly murdered after suspected rape,IPC_Section_302_376
girl was allegedly murdered and then raped by a man and set ablaze and she later succumbed or died to her burns at a hospital ,IPC_Section_302_376
girl was allegedly raped and killed by a guest,IPC_Section_302_376
girl was allegedly raped and murdered,IPC_Section_302_376
girl was allegedly raped and murdered,IPC_Section_302_376
girl was allegedly raped and murdered ,IPC_Section_302_376
girl was allegedly raped and strangled to death,IPC_Section_302_376
girl was allegedly raped by 2 brothers on various occasions,IPC_Section_376
girl was allegedly raped by 2 men,IPC_Section_376
girl was allegedly raped by 4 youths in a field at gunpoint,IPC_Section_376
"girl was allegedly raped by 6 men, was kept sedated and sexually assaulted once again before being bludgeoned to death",IPC_Section_302_376
girl was allegedly raped by a man,IPC_Section_376
girl was allegedly raped by a man and seriously injured her,IPC_Section_307_376
girl was allegedly raped by a man when she was alone in her house,IPC_Section_376
girl was allegedly raped by a man who also tried to kill her by hitting her head with a stone,IPC_Section_307_376
girl was allegedly raped by a staffer of a hotel,IPC_Section_376
girl was allegedly raped by a teenager,IPC_Section_376
girl was allegedly raped by a youth,IPC_Section_376
girl was allegedly raped by a youth,IPC_Section_376
girl was allegedly raped by a youth,IPC_Section_376
girl was allegedly raped by a youth,IPC_Section_376
girl was allegedly raped by a youth from her neighbourhood,IPC_Section_376
girl was allegedly raped by her father,IPC_Section_376
girl was allegedly raped by her neighbour,IPC_Section_376
girl was allegedly raped by her neighbour,IPC_Section_376
girl was allegedly raped by her stepfather,IPC_Section_376
girl was allegedly raped by three men,IPC_Section_376
girl was allegedly raped by two men,IPC_Section_376
girl was allegedly raped for 5 days by 6 persons,IPC_Section_376
girl was allegedly repeatedly raped and impregnated by a boy,IPC_Section_376
girl was brutally raped and murdered,IPC_Section_302_376
girl was brutally raped and strangled to death,IPC_Section_302_376
girl was found allegedly raped and strangled to death with her own school belt,IPC_Section_302_376
girl was found in a semi-nude indicating that she might have been raped before being murdered,IPC_Section_302_376
girl was found raped and murdered,IPC_Section_302_376
girl was gang-raped by 2 minors,IPC_Section_376
girl was gangraped by 2 unidentified accused and the incident took place at gunpoint,IPC_Section_307_376
girl was lured by the boy and got raped,IPC_Section_376
girl was raped allegedly by a neighbour at her house,IPC_Section_376
girl was raped and attempt to killed allegedly by a boy,IPC_Section_307_376
girl was raped and blinded in an attack,IPC_Section_307_376
girl was raped and murdered,IPC_Section_302_376
girl was raped and then murdered by her landlord. He then packed her body or deadbody in a bag and threw it in a garbage dump,IPC_Section_302_376
girl was raped by a old man,IPC_Section_376
girl was shot dead and burnt after being allegedly raped,IPC_Section_302_376
girl was taken by the youth when she was playing near her house and raped at a secluded area,IPC_Section_376
girl who was allegedly raped and set on fire by her neighbour,IPC_Section_307_376
grisly case of double murder and suicide,IPC_Section_302
guilty for committing murder and death,IPC_Section_302
had allegedly beaten,IPC_Section_307
had opened fire at a friend living in flats,IPC_Section_307
had tried to strangulate,IPC_Section_307
has killed allegedly,IPC_Section_302
has murdered allegedly,IPC_Section_302
he admitted to having committed offence of rape when the girl had come out he had disposed of the body,IPC_Section_302_376
he allegedly killed his infant daughter and threw her body from their apartment,IPC_Section_302
he along with another person raped the woman and then killed her,IPC_Section_302_376
he confessed to have raped and murdered the girl whose body was recovered,IPC_Section_302_376
He fled his house after raping her,IPC_Section_376
he had admitted to raping and killing another girl,IPC_Section_302_376
he had killed the minor and later dumped her deadbody or body nearby,IPC_Section_302
he held her hostage and raped her,IPC_Section_376
He held her hostage and raped her,IPC_Section_307_376
He killed her,IPC_Section_302
he killed his estranged wife. He went to his in-laws place and killed his mother-in-law and then killed himself,IPC_Section_302
He later succumbed to his injuries at a hospital,IPC_Section_307
"He physically tortured and raped girl, he hit the girl with rod ",IPC_Section_307_376
"He physically tortured and raped girl, later girl was sent to hospital ",IPC_Section_307_376
he raped her and he strangled her,IPC_Section_302_376
he raped the girl and tried to burn her alive,IPC_Section_307_376
He raped the girl and tried to strangulate her,IPC_Section_307_376
He thrashed the girl brutally and raped her,IPC_Section_307_376
"He thrashed the girl brutally and raped her and setting her on fire , the girl is battling for her life at hospital",IPC_Section_307_376
he was charged with homicide,IPC_Section_302
he was convicted for raping a student and murdering her before setting her house on fire,IPC_Section_302_376
he was found guilty of rape and murder of a woman,IPC_Section_302_376
he was shot,IPC_Section_307
held for allegedly killing his wife by crushing her face with stones multiple times,IPC_Section_302
held with illegal weapon,IPC_Section_307
her husband attacked at their home,IPC_Section_307
"HIV positive man who allegedly raped his minor stepdaughter, infecting her with the virus",IPC_Section_307_376
home guard murdered girl for rejecting his love proposal,IPC_Section_302
homemaker was murdered allegedly by her husband,IPC_Section_302
homicide,IPC_Section_302
human sacrifice,IPC_Section_302
"I pushed her from the bridge on the railway tracks after raping her, and ran towards my house",IPC_Section_307_376
immolation attempt,IPC_Section_307
in connection with the killing,IPC_Section_302
incident of a rape and murder,IPC_Section_302_376
injured,IPC_Section_307
injured woman and admitted her to the hospital,IPC_Section_307
intending to kill,IPC_Section_307
intruders started abusing and threatening girls of rape and murder,IPC_Section_307_376
kill and rape,IPC_Section_302_376
killed,IPC_Section_302
"killed by feeding food, which was laced with poison and consumed it later",IPC_Section_302
"killed, packed the deadbody in a bag, dragged and buried it there",IPC_Section_302
killings,IPC_Section_302
kills,IPC_Section_302
Later he died in the hospital,IPC_Section_302
later he died while being taken to hospital or he died at the hospital,IPC_Section_302
later taken to a nearby agriculture field and raped by the youths,IPC_Section_376
"Later victim, who was severely injured or wounded was taken to the hospital where he died",IPC_Section_302
lawyer raping and threatening a law student,IPC_Section_376
lodged an attempt to murder case against the deceased for opening fire at the police team,IPC_Section_307
lynch wiped out,IPC_Section_302
